group,subgroup,events_nivo,n_nivo,events_tmz,n_tmz,hr,ci_low,ci_high,n,events
Overall,Overall,244,280,218,280,1.28,1.07,1.54,560,462
Baseline measurable lesion,Yes,112,117,97,111,1.3,0.99,1.72,228,209
Baseline measurable lesion,No,132,163,121,169,1.27,0.99,1.62,332,253
Complete resection (CRF),Yes,125,151,102,144,1.28,0.98,1.66,295,227
Complete resection (CRF),No,119,129,116,136,1.38,1.06,1.79,265,235
Region,US/Canada,69,78,46,61,1.54,1.05,2.24,139,115
Region,Europe,140,159,138,177,1.26,1.0,1.6,336,278
Region,Rest of world,35,43,34,42,0.96,0.6,1.55,85,69
Age categorization,<65 yr,162,190,154,207,1.33,1.07,1.67,397,316
Age categorization,>=65 and <75 yr,69,76,54,61,0.97,0.68,1.39,137,123
Age categorization,>=75 yr,13,14,10,12,1.51,0.66,3.47,26,23
Sex,Male,164,190,136,175,1.24,0.99,1.56,365,300
Sex,Female,80,90,82,105,1.35,0.99,1.84,195,162
Race,White,201,231,187,240,1.31,1.07,1.6,471,388
Race,Black or African American,4,4,3,3,0.79,0.16,3.99,7,7
Race,Asian,27,33,21,28,1.26,0.71,2.24,61,48
Race,Other,12,12,7,9,0.92,0.36,2.38,21,19
Baseline performance status (Karnofsky scale),<=80,73,82,53,67,1.39,0.97,2.0,149,126
Baseline performance status (Karnofsky scale),>80,171,198,162,209,1.25,1.01,1.55,407,333
RPA class,III,17,20,23,42,2.25,1.19,4.25,62,40
RPA class,IV,189,219,166,202,1.09,0.89,1.35,421,355
RPA class,V,38,41,29,36,1.56,0.96,2.54,77,67
Baseline pathology,Glioblastoma,237,272,209,270,1.29,1.07,1.55,542,446
Baseline pathology,Gliosarcoma,7,8,9,10,,,,18,16
Baseline corticosteroid use,No,176,202,139,185,1.33,1.07,1.67,387,315
Baseline corticosteroid use,Yes,68,78,79,95,1.22,0.88,1.69,173,147
