factor,subgroup,breaks,pen_smooth,pen_reg,timevarying_hr,ISE_ctrl,ISE_trt,MAD_ctrl,MAD_trt,ISE_sum,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24
Baseline corticosteroid use,No,"0,12,24,30",5e-05,1e-05,False,0.028766421918677638,0.03543498725569153,0.308229525704772,0.380668975106821,0.06420140917436917,0.7368288612890882,0.6661893294926895,22.30717301342123,21.81786585226004,-0.0706395317963987,-0.48930716116118944
Baseline corticosteroid use,Yes,"0,12,24,30",5e-05,1e-05,False,0.028766421918677638,0.03543498725569153,0.308229525704772,0.380668975106821,0.06420140917436917,2.0208714000198636e-05,1.8739591438298465e-06,6.688383982185992,5.858660143708212,-1.833475485636879e-05,-0.8297238384777801
Baseline corticosteroid use,No,"0,12,24,30",5e-05,5e-05,False,0.028709663134162584,0.035580594497846486,0.3082323017718366,0.38084274758507497,0.06429025763200907,0.7368660857080903,0.6662340922860528,22.2859886862084,21.790116307454454,-0.07063199342203752,-0.4958723787539441
Baseline corticosteroid use,Yes,"0,12,24,30",5e-05,5e-05,False,0.028709663134162584,0.035580594497846486,0.3082323017718366,0.38084274758507497,0.06429025763200907,2.7674937285974863e-05,2.750102417870073e-06,6.728937440325706,5.894711728506369,-2.492483486810479e-05,-0.8342257118193368
Baseline corticosteroid use,No,"0,12,24,30",5e-05,0.0001,False,0.028637837842264542,0.03575671492410348,0.3082980024513381,0.3809785249054295,0.06439455276636802,0.7370029614374595,0.6663986927351558,22.26169993166208,21.75827510574234,-0.07060426870230363,-0.5034248259197405
Baseline corticosteroid use,Yes,"0,12,24,30",5e-05,0.0001,False,0.028637837842264542,0.03575671492410348,0.3082980024513381,0.3809785249054295,0.06439455276636802,3.4229726825439516e-05,3.564309959966631e-06,6.773960074729654,5.93639634312024,-3.0665416865472885e-05,-0.8375637316094142
Baseline corticosteroid use,No,"0,12,24,30",5e-05,0.0005,False,0.028055783770404654,0.037022630681423294,0.30818472370869,0.3824378228855495,0.06507841445182795,0.7370815724844209,0.6664932350043683,22.101128829450506,21.54851008780959,-0.07058833748005255,-0.5526187416409165
Baseline corticosteroid use,Yes,"0,12,24,30",5e-05,0.0005,False,0.028055783770404654,0.037022630681423294,0.30818472370869,0.3824378228855495,0.06507841445182795,9.557918490808868e-05,1.2475177993034821e-05,7.0496094826385685,6.193705390808322,-8.310400691505385e-05,-0.8559040918302463
Baseline corticosteroid use,No,"0,12,24,30",0.0001,1e-05,False,0.028860461273652462,0.03544292102360924,0.30810683860222254,0.38100254146483903,0.06430338229726171,0.7366494705708135,0.6659736212029421,22.283449231724642,21.786884923302434,-0.07067584936787141,-0.496564308422208
Baseline corticosteroid use,Yes,"0,12,24,30",0.0001,1e-05,False,0.028860461273652462,0.03544292102360924,0.30810683860222254,0.38100254146483903,0.06430338229726171,9.213245139615254e-05,1.19284903105272e-05,6.773995198693627,5.920355477483518,-8.020396108562534e-05,-0.8536397212101088
Baseline corticosteroid use,No,"0,12,24,30",0.0001,5e-05,False,0.02880294157958593,0.035579602218515805,0.30819887321320316,0.3810629054187918,0.06438254379810174,0.7368137868256912,0.6661712023146619,22.26508209076901,21.762780275959322,-0.07064258451102934,-0.5023018148096874
Baseline corticosteroid use,Yes,"0,12,24,30",0.0001,5e-05,False,0.02880294157958593,0.035579602218515805,0.30819887321320316,0.3810629054187918,0.06438254379810174,0.00010097790406523086,1.3340081004927339e-05,6.807496596498314,5.951826587483952,-8.763782306030352e-05,-0.8556700090143625
Baseline corticosteroid use,No,"0,12,24,30",0.0001,0.0001,False,0.02871854934376558,0.03575999608161716,0.308229719505404,0.38122330193978154,0.06447854542538274,0.736898041965661,0.6662725202714442,22.24202660167048,21.732587121021602,-0.07062552169421676,-0.5094394806488793
Baseline corticosteroid use,Yes,"0,12,24,30",0.0001,0.0001,False,0.02871854934376558,0.03575999608161716,0.308229719505404,0.38122330193978154,0.06447854542538274,0.0001049971060154484,1.3990681171525201e-05,6.846246194571038,5.989483127560771,-9.10064248439232e-05,-0.8567630670102675
Baseline corticosteroid use,No,"0,12,24,30",0.0001,0.0005,False,0.028095761390351734,0.037036149255123905,0.3080405523625587,0.3827162203414844,0.06513191064547563,0.7368507963936991,0.6662157105020884,22.08673891715253,21.529841023575184,-0.07063508589161072,-0.5568978935773465
Baseline corticosteroid use,Yes,"0,12,24,30",0.0001,0.0005,False,0.028095761390351734,0.037036149255123905,0.3080405523625587,0.3827162203414844,0.06513191064547563,0.00017371971854929967,2.5859433056904333e-05,7.093074259995457,6.224566130543537,-0.00014786028549239533,-0.8685081294519197
Baseline corticosteroid use,No,"0,12,24,30",0.0005,1e-05,False,0.02918520355290472,0.035721992355892816,0.3076163259141087,0.3828793158549703,0.06490719590879754,0.735337928907485,0.6643970856232359,22.144933253695633,21.606383107839694,-0.0709408432842491,-0.5385501458559396
Baseline corticosteroid use,Yes,"0,12,24,30",0.0005,1e-05,False,0.02918520355290472,0.035721992355892816,0.3076163259141087,0.3828793158549703,0.06490719590879754,0.0016909702605763062,0.0004152663568272961,7.1616261063812425,6.221642656779056,-0.00127570390374901,-0.9399834496021864
Baseline corticosteroid use,No,"0,12,24,30",0.0005,5e-05,False,0.029105995466285103,0.03585455483803626,0.30753081205214483,0.38308310740683804,0.06496055030432137,0.7352558455120024,0.6642984489509258,22.130109948087743,21.587069657619786,-0.07095739656107658,-0.5430402904679568
Baseline corticosteroid use,Yes,"0,12,24,30",0.0005,5e-05,False,0.029105995466285103,0.03585455483803626,0.30753081205214483,0.38308310740683804,0.06496055030432137,0.0016528577269707319,0.0004038761473697956,7.181576912120725,6.242285247371141,-0.0012489815796009364,-0.9392916647495841
Baseline corticosteroid use,No,"0,12,24,30",0.0005,0.0001,False,0.02900993372231316,0.03601560228123943,0.3074337736230325,0.3833224194117069,0.06502553600355258,0.7351660577089745,0.6641905584138507,22.112270238397322,21.563829662745945,-0.07097549929512381,-0.5484405756513766
Baseline corticosteroid use,Yes,"0,12,24,30",0.0005,0.0001,False,0.02900993372231316,0.03601560228123943,0.3074337736230325,0.3833224194117069,0.06502553600355258,0.0016064444332692378,0.0003900831295702391,7.205875754706398,6.2674774176931285,-0.0012163613036989987,-0.9383983370132691
Baseline corticosteroid use,No,"0,12,24,30",0.0005,0.0005,False,0.02828308824999819,0.03723383147886545,0.30643559038099344,0.3853894858843347,0.06551691972886364,0.7339851824995789,0.6627720013790961,21.981847411889095,21.39437920592203,-0.0712131811204828,-0.5874682059670668
Baseline corticosteroid use,Yes,"0,12,24,30",0.0005,0.0005,False,0.02828308824999819,0.03723383147886545,0.30643559038099344,0.3853894858843347,0.06551691972886364,0.0014510138564667555,0.0003445409165929995,7.3705063930782755,6.434933069990652,-0.001106472939873756,-0.9355733230876231
Baseline corticosteroid use,No,"0,12,24,30",0.001,1e-05,False,0.0293441155015648,0.03614006339831518,0.3061541465605563,0.38592006447144683,0.06548417889987998,0.7317246964995562,0.6600586176826941,22.005841340236696,21.426535717052865,-0.07166607881686204,-0.5793056231838314
Baseline corticosteroid use,Yes,"0,12,24,30",0.001,1e-05,False,0.0293441155015648,0.03614006339831518,0.3061541465605563,0.38592006447144683,0.06548417889987998,0.005046641526701576,0.0015763895647685994,7.484076360813407,6.48280789923541,-0.0034702519619329766,-1.0012684615779968
Baseline corticosteroid use,No,"0,12,24,30",0.001,5e-05,False,0.02924953933195921,0.0362711632827449,0.30600755158868587,0.38614583041852035,0.06552070261470411,0.7316038621962103,0.659913652410848,21.9941247590019,21.411330504944242,-0.07169020978536234,-0.5827942540576565
Baseline corticosteroid use,Yes,"0,12,24,30",0.001,5e-05,False,0.02924953933195921,0.0362711632827449,0.30600755158868587,0.38614583041852035,0.06552070261470411,0.004891130080741933,0.001517329235834487,7.491730304923021,6.4923273107541615,-0.003373800844907446,-0.9994029941688591
Baseline corticosteroid use,No,"0,12,24,30",0.001,0.0001,False,0.029154470138535556,0.03641503849857874,0.30588519258670754,0.3863797575489656,0.06556950863711429,0.7314917265967197,0.659779130324615,21.979345368445543,21.392138769330305,-0.07171259627210469,-0.5872065991152375
