factor,subgroup,breaks,pen_smooth,pen_reg,timevarying_hr,ISE_ctrl,ISE_trt,MAD_ctrl,MAD_trt,ISE_sum,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24
Baseline performance status (Karnofsky scale),<=80,"0,12,24,30",5e-05,1e-05,False,0.028704124154317952,0.03539268030466887,0.309656980981905,0.39084075903340537,0.06409680445898683,0.9970851883095473,0.9959507159932033,23.96818501277932,23.955793248655937,-0.001134472316344004,-0.012391764123382387
Baseline performance status (Karnofsky scale),>80,"0,12,24,30",5e-05,1e-05,False,0.028704124154317952,0.03539268030466887,0.309656980981905,0.39084075903340537,0.06409680445898683,0.32143335679694685,0.242133488456897,16.013716799899512,14.679589291502875,-0.07929986834004984,-1.3341275083966373
Baseline performance status (Karnofsky scale),<=80,"0,12,24,30",5e-05,5e-05,False,0.028676586894547818,0.03571626887810508,0.3092410062025409,0.3918531029340435,0.0643928557726529,0.9892072999245783,0.9850297890739409,23.88541376992969,23.84093774139556,-0.004177510850637445,-0.04447602853413102
Baseline performance status (Karnofsky scale),>80,"0,12,24,30",5e-05,5e-05,False,0.028676586894547818,0.03571626887810508,0.3092410062025409,0.3918531029340435,0.0643928557726529,0.32547049850795706,0.24590504885732062,16.04573981086855,14.71396914585232,-0.07956544965063644,-1.331770665016231
Baseline performance status (Karnofsky scale),<=80,"0,12,24,30",5e-05,0.0001,False,0.028650863872163153,0.0360605002657073,0.308957744264145,0.392762930575723,0.06471136413787046,0.9812164846727108,0.9739869138684983,23.798817777497234,23.721009149306703,-0.007229570804212493,-0.07780862819053169
Baseline performance status (Karnofsky scale),>80,"0,12,24,30",5e-05,0.0001,False,0.028650863872163153,0.0360605002657073,0.308957744264145,0.392762930575723,0.06471136413787046,0.32927479465871556,0.2494811521029,16.0779022092992,14.74832702989988,-0.07979364255581556,-1.3295751793993205
Baseline performance status (Karnofsky scale),<=80,"0,12,24,30",5e-05,0.0005,False,0.02693987374383229,0.036423877702584546,0.29161254552858124,0.3917220943486309,0.06336375144641684,2.353940424405036e-09,1.0158010209700843e-12,5.886459514600421,4.641661150853208,-2.352924623384066e-09,-1.244798363747213
Baseline performance status (Karnofsky scale),>80,"0,12,24,30",5e-05,0.0005,False,0.02693987374383229,0.036423877702584546,0.29161254552858124,0.3917220943486309,0.06336375144641684,0.6718319166205607,0.6082411954666207,21.63453135716661,21.12792904364177,-0.06359072115394004,-0.5066023135248372
Baseline performance status (Karnofsky scale),<=80,"0,12,24,30",0.0001,1e-05,False,0.02870357727304283,0.03549166950534544,0.3079349107122631,0.3924199278600415,0.06419524677838827,0.9969564861696747,0.9957720280620729,23.965853185584365,23.952554147229232,-0.0011844581076018157,-0.013299038355132353
Baseline performance status (Karnofsky scale),>80,"0,12,24,30",0.0001,1e-05,False,0.02870357727304283,0.03549166950534544,0.3079349107122631,0.3924199278600415,0.06419524677838827,0.32338969197389755,0.2439059407074138,16.003752518702587,14.670450798288284,-0.07948375126648374,-1.333301720414303
