factor,subgroup,breaks,pen_smooth,pen_reg,timevarying_hr,ISE_ctrl,ISE_trt,MAD_ctrl,MAD_trt,ISE_sum,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24
Sex,Male,"0,12,24,30",5e-05,1e-05,False,0.029711534508014212,0.03303518185801688,0.30723376462591534,0.38602055437766253,0.06274671636603109,0.2403843710018753,0.1709016655577187,14.90745871488288,13.565810098650518,-0.06948270544415658,-1.3416486162323622
Sex,Female,"0,12,24,30",5e-05,1e-05,False,0.029711534508014212,0.03303518185801688,0.30723376462591534,0.38602055437766253,0.06274671636603109,0.9874220711851228,0.9830572757126987,23.89206471759656,23.854482758388677,-0.004364795472424077,-0.0375819592078841
Sex,Male,"0,12,24,30",5e-05,5e-05,False,0.029549428443974197,0.03336478235890605,0.3068274105181742,0.3875229162517668,0.06291421080288025,0.24756425647843888,0.1771977453752256,14.97887291732211,13.639326325336773,-0.07036651110321329,-1.3395465919853375
Sex,Female,"0,12,24,30",5e-05,5e-05,False,0.029549428443974197,0.03336478235890605,0.3068274105181742,0.3875229162517668,0.06291421080288025,0.975939872722209,0.9676563128509832,23.776089672837415,23.698504505562372,-0.008283559871225754,-0.07758516727504272
Sex,Male,"0,12,24,30",5e-05,0.0001,False,0.02940072209125022,0.03370043183499464,0.30644067163725286,0.3889528279511709,0.06310115392624485,0.2542772380406512,0.1831373792482974,15.042838208322305,13.704864715854688,-0.07113985879235382,-1.3379734924676168
Sex,Female,"0,12,24,30",5e-05,0.0001,False,0.02940072209125022,0.03370043183499464,0.30644067163725286,0.3889528279511709,0.06310115392624485,0.9648064773956178,0.9527836264601819,23.666589759199876,23.55161198760505,-0.01202285093543587,-0.1149777715948268
Sex,Male,"0,12,24,30",5e-05,0.0005,False,0.028699820994041066,0.03572354667567995,0.30388383577652955,0.39636979738951394,0.06442336766972101,0.28207730581145024,0.20821147527914663,15.376489359376563,14.053100587549839,-0.07386583053230361,-1.3233887718267248
Sex,Female,"0,12,24,30",5e-05,0.0005,False,0.028699820994041066,0.03572354667567995,0.30388383577652955,0.39636979738951394,0.06442336766972101,0.9116435776071616,0.8825998636723571,23.074212844300234,22.762570743288776,-0.029043713934804538,-0.31164210101145784
Sex,Male,"0,12,24,30",0.0001,1e-05,False,0.02994527320700185,0.03299450218526171,0.30569895331934627,0.3877806313639369,0.06293977539226356,0.24479034106934125,0.17468261457506326,14.919980848708793,13.580223126790623,-0.07010772649427799,-1.3397577219181702
Sex,Female,"0,12,24,30",0.0001,1e-05,False,0.02994527320700185,0.03299450218526171,0.30569895331934627,0.3877806313639369,0.06293977539226356,0.9835415991147783,0.9778453840698644,23.85246338622595,23.801176926453216,-0.00569621504491391,-0.05128645977273294
Sex,Male,"0,12,24,30",0.0001,5e-05,False,0.029604162140457954,0.03344722318417795,0.30533926936735667,0.3892107372069741,0.0630513853246359,0.2507607028484285,0.17996934446510987,14.988109593698798,13.650030280264605,-0.07079135838331863,-1.3380793134341928
Sex,Female,"0,12,24,30",0.0001,5e-05,False,0.029604162140457954,0.03344722318417795,0.30533926936735667,0.3892107372069741,0.0630513853246359,0.9721306153884613,0.9625609488620677,23.74219688479569,23.65301129853686,-0.009569666526393683,-0.08918558625882866
Sex,Male,"0,12,24,30",0.0001,0.0001,False,0.029424069370109763,0.033802069423701925,0.3050943655375127,0.39045827797042865,0.06322613879381168,0.25640497741495194,0.1849959328518104,15.053374756634849,13.717199015975275,-0.07140904456314154,-1.3361757406595736
Sex,Female,"0,12,24,30",0.0001,0.0001,False,0.029424069370109763,0.033802069423701925,0.3050943655375127,0.39045827797042865,0.06322613879381168,0.9616937719787614,0.9486361829796445,23.63388580491698,23.50780153625435,-0.01305758899911691,-0.1260842686626269
Sex,Male,"0,12,24,30",0.0001,0.0005,False,0.02867779886969682,0.03583182719019653,0.30271248012270824,0.39757576430596997,0.06450962605989335,0.2819638970637124,0.2081006700466261,15.377487968083088,14.055177403344215,-0.07386322701708628,-1.3223105647388724
Sex,Female,"0,12,24,30",0.0001,0.0005,False,0.02867779886969682,0.03583182719019653,0.30271248012270824,0.39757576430596997,0.06450962605989335,0.9098960346007101,0.8803166071839562,23.057249331977083,22.740145639216333,-0.0295794274167539,-0.31710369276074957
Sex,Male,"0,12,24,30",0.0005,1e-05,False,0.02992617001184988,0.0337043761450818,0.2974665071829453,0.394598744019118,0.06363054615693169,0.23379124832000142,0.1649523928979491,14.809878739181135,13.47742126469002,-0.06883885542205231,-1.3324574744911146
Sex,Female,"0,12,24,30",0.0005,1e-05,False,0.02992617001184988,0.0337043761450818,0.2974665071829453,0.394598744019118,0.06363054615693169,0.9902500641956576,0.9868600925232829,23.889170341594927,23.850546187113316,-0.0033899716723747586,-0.03862415448161016
Sex,Male,"0,12,24,30",0.0005,5e-05,False,0.029640458193918955,0.034154057293367436,0.29723795281724086,0.3970286286974077,0.06379451548728639,0.24513779437167152,0.17493607271933193,14.957105987787898,13.627783519248537,-0.0702017216523396,-1.3293224685393614
Sex,Female,"0,12,24,30",0.0005,5e-05,False,0.029640458193918955,0.034154057293367436,0.29723795281724086,0.3970286286974077,0.06379451548728639,0.9678558716852312,0.9568512540343251,23.66403876292068,23.548069129220547,-0.011004617650906101,-0.11596963370013214
Sex,Male,"0,12,24,30",0.0005,0.0001,False,0.0293981059892488,0.034558291455449405,0.29694072705692864,0.3986952974518948,0.06395639744469821,0.2523869394676532,0.18137302220720694,15.045596901609443,13.7181260945346,-0.07101391726044629,-1.3274708070748424
Sex,Female,"0,12,24,30",0.0005,0.0001,False,0.0293981059892488,0.034558291455449405,0.29694072705692864,0.3986952974518948,0.06395639744469821,0.9531708414902514,0.9373040864296781,23.52175244595542,23.357705433076003,-0.015866755060573334,-0.16404701287941847
Sex,Male,"0,12,24,30",0.0005,0.0005,False,0.02857146242265379,0.03658204252172792,0.29506744958967845,0.4054164538281354,0.06515350494438171,0.27795111519781923,0.204421759823518,15.376610916400448,14.061011687091312,-0.07352935537430122,-1.3155992293091359
Sex,Female,"0,12,24,30",0.0005,0.0005,False,0.02857146242265379,0.03658204252172792,0.29506744958967845,0.4054164538281354,0.06515350494438171,0.8993653754412453,0.8665902980190682,22.946856922413453,22.59433749569692,-0.03277507742217711,-0.35251942671653325
