factor,subgroup,n_solutions,dRMST24_min,dRMST24_max,dRMST24_med,dS24_min,dS24_max,dS24_med,S24_ctrl_med,S24_trt_med,RMST24_ctrl_med,RMST24_trt_med,ISE_sum_med,tolerance
Complete resection (CRF),No,112,-0.7727980173993174,-0.06086657635756865,-0.3126482439405276,-0.06863183445598475,-0.008424424910123518,-0.05070210947145504,0.8506836697373092,0.7999815602658542,23.129906827108748,22.816328369304614,0.06428904237423419,0.05
Complete resection (CRF),Yes,112,-1.5774025058492125,-1.3908065781785872,-1.493369351969699,-0.06406475593704808,-0.0005331070332049727,-0.021487574380469346,0.035356478073431674,0.013868903692962325,13.025118030925793,11.54196147105975,0.06428904237423419,0.05
Sex,Female,114,-0.6260224864333779,-0.025316222448036996,-0.11877030676240175,-0.05207925962415649,-0.0022339734406848777,-0.012888724517265804,0.9622026431819348,0.9493139186646691,23.655172293232177,23.536401986469777,0.0625198830491161,0.05
Sex,Male,114,-1.3436406076540397,-1.2628519321510332,-1.3067500632126743,-0.07386583053230361,-0.022188805668465768,-0.0533905366172494,0.1432451573181739,0.08985462070092448,14.833740287293562,13.5172357528617,0.0625198830491161,0.05
Baseline corticosteroid use,No,112,-0.8366215855719297,-0.29703400180457606,-0.48720875622642446,-0.09316480113785541,-0.07058833748005255,-0.08692578219904512,0.6448079102877542,0.557882128088709,22.284718958966522,21.79842156000518,0.060800004102371026,0.05
Baseline corticosteroid use,Yes,112,-1.27972698552988,-0.6708572138741697,-0.8275510658070786,-0.02927871717939929,-1.5444844190757542e-13,-0.00017209008250496978,0.00020344519323037798,3.13551107254082e-05,6.774891564143142,5.964268770036735,0.060800004102371026,0.05
Baseline performance status (Karnofsky scale),<=80,117,-1.694463760841554,-0.01197284844747415,-0.0850854164978081,-0.0396891922146575,-2.352924623384066e-09,-0.004948696921004925,0.9800758625174503,0.9724134874166331,23.779863591133193,23.694778174635385,0.06339360666330503,0.05
Baseline performance status (Karnofsky scale),>80,117,-1.3657980310305131,-0.4339449317965709,-1.313675918708288,-0.07985005868446002,-0.05070989107205043,-0.06999916543147786,0.23956098255708344,0.1675985976298475,15.923133442014368,14.602666008813245,0.06339360666330503,0.05
Complete resection (CRF),No,120,-0.7727980173993174,-0.06086657635756865,-0.3385038504168989,-0.06863183445598475,-0.008424424910123518,-0.05074589621582842,0.8505366030051147,0.7997907067892863,23.066526876656972,22.728023026240074,0.06456713921171825,0.1
Complete resection (CRF),Yes,120,-1.5863933542105144,-1.3908065781785872,-1.4951515193899176,-0.07110651609388736,-0.0005331070332049727,-0.02771861677563596,0.04853295516627023,0.02081433839063427,13.066942562621692,11.578959594822205,0.06456713921171825,0.1
Sex,Female,119,-0.6260224864333779,-0.025316222448036996,-0.1193863866665481,-0.05207925962415649,-0.0022339734406848777,-0.01305758899911691,0.9616937719787614,0.9486361829796445,23.654179227749538,23.53479284108299,0.06268117013100155,0.1
Sex,Male,119,-1.3572970692744093,-1.2628519321510332,-1.307619987285566,-0.07386583053230361,-0.022188805668465768,-0.054578616453594186,0.14867743240198264,0.09409881594838845,14.826954491995474,13.509102059787743,0.06268117013100155,0.1
Baseline corticosteroid use,No,120,-0.9490387571106957,-0.29703400180457606,-0.49621834358807604,-0.09316480113785541,-0.07058833748005255,-0.0867596075460948,0.6459085603899078,0.559148952843813,22.263391011215546,21.768341587932056,0.061108816816395545,0.1
Baseline corticosteroid use,Yes,120,-1.3324814424330125,-0.6708572138741697,-0.8358947217143755,-0.03941515196507818,-1.5444844190757542e-13,-0.00021566912409965865,0.00025767638816368737,4.2007264064028706e-05,6.812717264506237,5.989996915298867,0.061108816816395545,0.1
Baseline performance status (Karnofsky scale),<=80,120,-1.877712164331851,-0.01197284844747415,-0.0866439686435907,-0.0396891922146575,-2.352924623384066e-09,-0.005006787892493592,0.9792670955564824,0.9712982709243101,23.775837614053973,23.689193645410384,0.06342166027755669,0.1
Baseline performance status (Karnofsky scale),>80,120,-1.3657980310305131,-0.4339449317965709,-1.3138023989961747,-0.07985005868446002,-0.05070989107205043,-0.07002829828976967,0.2419261092344102,0.16967028346790367,15.920178070671621,14.600361979843964,0.06342166027755669,0.1
Complete resection (CRF),No,120,-0.7727980173993174,-0.06086657635756865,-0.3385038504168989,-0.06863183445598475,-0.008424424910123518,-0.05074589621582842,0.8505366030051147,0.7997907067892863,23.066526876656972,22.728023026240074,0.06456713921171825,0.2
Complete resection (CRF),Yes,120,-1.5863933542105144,-1.3908065781785872,-1.4951515193899176,-0.07110651609388736,-0.0005331070332049727,-0.02771861677563596,0.04853295516627023,0.02081433839063427,13.066942562621692,11.578959594822205,0.06456713921171825,0.2
Sex,Female,120,-0.7248610886780718,-0.025316222448036996,-0.11984962952464429,-0.059495329867256475,-0.0022339734406848777,-0.013163695789297658,0.9613737056381798,0.9482100098488822,23.65290413027439,23.533054500749746,0.06269460122225233,0.2
Sex,Male,120,-1.3572970692744093,-1.2628519321510332,-1.3082829193997165,-0.07483564173162993,-0.022188805668465768,-0.055037906685702416,0.1508389488390364,0.09580104215333399,14.830324780110281,13.512580391583015,0.06269460122225233,0.2
Baseline corticosteroid use,No,120,-0.9490387571106957,-0.29703400180457606,-0.49621834358807604,-0.09316480113785541,-0.07058833748005255,-0.0867596075460948,0.6459085603899078,0.559148952843813,22.263391011215546,21.768341587932056,0.061108816816395545,0.2
Baseline corticosteroid use,Yes,120,-1.3324814424330125,-0.6708572138741697,-0.8358947217143755,-0.03941515196507818,-1.5444844190757542e-13,-0.00021566912409965865,0.00025767638816368737,4.2007264064028706e-05,6.812717264506237,5.989996915298867,0.061108816816395545,0.2
Baseline performance status (Karnofsky scale),<=80,120,-1.877712164331851,-0.01197284844747415,-0.0866439686435907,-0.0396891922146575,-2.352924623384066e-09,-0.005006787892493592,0.9792670955564824,0.9712982709243101,23.775837614053973,23.689193645410384,0.06342166027755669,0.2
Baseline performance status (Karnofsky scale),>80,120,-1.3657980310305131,-0.4339449317965709,-1.3138023989961747,-0.07985005868446002,-0.05070989107205043,-0.07002829828976967,0.2419261092344102,0.16967028346790367,15.920178070671621,14.600361979843964,0.06342166027755669,0.2
Complete resection (CRF),No,120,-0.7727980173993174,-0.06086657635756865,-0.3385038504168989,-0.06863183445598475,-0.008424424910123518,-0.05074589621582842,0.8505366030051147,0.7997907067892863,23.066526876656972,22.728023026240074,0.06456713921171825,0.3
Complete resection (CRF),Yes,120,-1.5863933542105144,-1.3908065781785872,-1.4951515193899176,-0.07110651609388736,-0.0005331070332049727,-0.02771861677563596,0.04853295516627023,0.02081433839063427,13.066942562621692,11.578959594822205,0.06456713921171825,0.3
