factor,subgroup,breaks,pen_smooth,pen_reg,timevarying_hr,ISE_ctrl,ISE_trt,MAD_ctrl,MAD_trt,ISE_sum,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,1e-05,False,0.004222179987153149,0.001086230991791622,0.14766460501584922,0.16440885767502056,0.00530841097894477,0.6399014512868944,0.6965488821752263,18.53617178146262,19.44158636564077,0.05664743088833191,0.9054145841781498
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,1e-05,False,0.004222179987153149,0.001086230991791622,0.14766460501584922,0.16440885767502056,0.00530841097894477,0.14819084865178497,0.5428287064941696,13.818819004626757,19.535943477886708,0.3946378578423846,5.71712447325995
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,5e-05,False,0.0042189306558347885,0.0011313853107307614,0.146204040361528,0.159648938945801,0.005350315966565549,0.5725488856511712,0.6365436197580111,17.81401808668653,18.812602121939232,0.06399473410683987,0.9985840352527013
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,5e-05,False,0.0042189306558347885,0.0011313853107307614,0.146204040361528,0.159648938945801,0.005350315966565549,0.16236124402848776,0.5589260115366798,14.001837296069233,19.666089540698955,0.39656476750819203,5.664252244629722
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,0.0001,False,0.004263584690245452,0.0011789675395460276,0.14442511798049484,0.15557718008594768,0.005442552229791479,0.46597324066103885,0.5387314910751281,16.707889217933822,17.831175341325853,0.07275825041408923,1.123286123392031
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,0.0001,False,0.004263584690245452,0.0011789675395460276,0.14442511798049484,0.15557718008594768,0.005442552229791479,0.18520426057258096,0.5829727760002,14.281610486737183,19.85791520703031,0.39776851542761904,5.576304720293127
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,0.0005,False,0.0035286544608918707,0.0018083556318922033,0.15629703828436037,0.13233768721994832,0.0053370100927840735,0.0010615155949848384,0.0038993920390494666,10.88762756949007,11.681678186652478,0.0028378764440646284,0.7940506171624087
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,0.0005,False,0.0035286544608918707,0.0018083556318922033,0.15629703828436037,0.13233768721994832,0.0053370100927840735,0.33903820788274613,0.7074234885179881,15.870889169841742,20.811717889061246,0.36838528063524195,4.940828719219503
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0001,1e-05,False,0.004255756081315662,0.0010892319346793506,0.1468906063948373,0.16434683161873442,0.005344988015995013,0.6147684051765847,0.6743049445533256,18.328526786310803,19.26068824791551,0.05953653937674086,0.9321614616047071
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0001,1e-05,False,0.004255756081315662,0.0010892319346793506,0.1468906063948373,0.16434683161873442,0.005344988015995013,0.15288687248613134,0.5482749627359483,13.866233849607873,19.573773313105864,0.395388090249817,5.707539463497991
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0001,5e-05,False,0.004250538644854656,0.0011351616182574882,0.14530747917535813,0.15956505335941318,0.005385700263112143,0.537084811600399,0.6044142766254123,17.525704889660908,18.557293483923637,0.06732946502501325,1.031588594262729
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0001,5e-05,False,0.004250538644854656,0.0011351616182574882,0.14530747917535813,0.15956505335941318,0.005385700263112143,0.16939941552239574,0.566567642434687,14.07069668206609,19.718763399198785,0.3971682269122913,5.648066717132695
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0001,0.0001,False,0.004288585768090455,0.0011743291419583962,0.14375581101875734,0.1561439439805835,0.0054629149100488515,0.4404959709562787,0.514745961311844,16.525888110607266,17.664674532087638,0.07424999035556534,1.138786421480372
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0001,0.0001,False,0.004288585768090455,0.0011743291419583962,0.14375581101875734,0.1561439439805835,0.0054629149100488515,0.19053093630271925,0.5882865515149613,14.323892588570239,19.89074567633184,0.3977556152122421,5.566853087761601
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0001,0.0005,False,0.0035955753796301252,0.0017549204009810555,0.15455353802076333,0.13297941650530054,0.005350495780611181,0.0017532998511565882,0.005854913462152768,10.914382938543033,11.747369319249886,0.0041016136109961795,0.8329863807068527
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0001,0.0005,False,0.0035955753796301252,0.0017549204009810555,0.15455353802076333,0.13297941650530054,0.005350495780611181,0.3371026456302486,0.7061286035000616,15.853787498684563,20.80239360470909,0.36902595786981296,4.948606106024526
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0005,1e-05,False,0.00427500656853649,0.0011320011908389964,0.14280542962724097,0.16007540729622038,0.005407007759375486,0.564441211906411,0.6292325157813667,18.089424417429992,19.04718602031304,0.0647913038749558,0.9577616028830462
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0005,1e-05,False,0.00427500656853649,0.0011320011908389964,0.14280542962724097,0.16007540729622038,0.005407007759375486,0.16505074928361047,0.5618721924464501,13.913862924504338,19.634781691635922,0.3968214431628397,5.720918767131584
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0005,5e-05,False,0.004295564603215754,0.0011585067462266544,0.14180252928470571,0.1580401147436098,0.005454071349442409,0.4700111756943199,0.5425098429318703,16.951836898189846,18.043940525049724,0.07249866723755044,1.0921036268598776
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0005,5e-05,False,0.004295564603215754,0.0011585067462266544,0.14180252928470571,0.1580401147436098,0.005454071349442409,0.18526409725884785,0.5830330174063864,14.200357382369337,19.8218055326485,0.3977689201475385,5.621448150279164
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0005,0.0001,False,0.004340296459879036,0.0011946439347375972,0.14062928036544808,0.15512871304925946,0.005534940394616633,0.35076109892538665,0.428015239078803,15.611927218001936,16.828008254927706,0.07725414015341636,1.21608103692577
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0005,0.0001,False,0.004340296459879036,0.0011946439347375972,0.14062928036544808,0.15512871304925946,0.005534940394616633,0.21288401539710133,0.6095449374105514,14.54281732170335,20.041302381947098,0.39666092201345005,5.498485060243748
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0005,0.0005,False,0.003975095414368385,0.0015529773162028134,0.14725027979811767,0.13727998542526776,0.005528072730571198,0.013649204779920479,0.030862844931449095,11.001945231179343,12.063734875811026,0.01721364015152862,1.0617896446316823
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0005,0.0005,False,0.003975095414368385,0.0015529773162028134,0.14725027979811767,0.13727998542526776,0.005528072730571198,0.3221487124079284,0.6959499035630576,15.775642817743154,20.752303564819222,0.3738011911551292,4.9766607470760675
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.001,1e-05,False,0.004286873882018042,0.001157980270670517,0.1394328026360513,0.15817773216066977,0.005444854152688559,0.5335265454611474,0.6011687301092582,17.809284869312755,18.80023734645186,0.06764218464811078,0.9909524771391034
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.001,1e-05,False,0.004286873882018042,0.001157980270670517,0.1394328026360513,0.15817773216066977,0.005444854152688559,0.1737846235693781,0.5712202114544764,13.967845476258818,19.685267378965705,0.39743558788509836,5.717421902706887
