factor,subgroup,breaks,pen_smooth,pen_reg,timevarying_hr,ISE_ctrl,ISE_trt,MAD_ctrl,MAD_trt,ISE_sum,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24
No. of previous surgeries,1,"0,12,24,30",5e-05,1e-05,False,0.0042704507808451735,0.0011129514555821922,0.14339340806996637,0.1590487396893402,0.005383402236427366,0.18590541336232155,0.5016602793456562,14.433830422691592,18.99291036493964,0.3157548659833346,4.559079942248047
No. of previous surgeries,≥2,"0,12,24,30",5e-05,1e-05,False,0.0042704507808451735,0.0011129514555821922,0.14339340806996637,0.1590487396893402,0.005383402236427366,0.47000016094927305,0.7913166384195953,16.04345528109205,21.069693779936568,0.32131647747032227,5.026238498844517
No. of previous surgeries,1,"0,12,24,30",5e-05,5e-05,False,0.004294132117186638,0.0011325597597524704,0.14217156068718528,0.1563254488176108,0.005426691876939108,0.19553515076428268,0.5121558746174344,14.525986844528026,19.068372750646724,0.3166207238531517,4.542385906118698
No. of previous surgeries,≥2,"0,12,24,30",5e-05,5e-05,False,0.004294132117186638,0.0011325597597524704,0.14217156068718528,0.1563254488176108,0.005426691876939108,0.4222220498625556,0.7654513655477685,15.646633389737097,20.877048685958368,0.34322931568521287,5.23041529622127
No. of previous surgeries,1,"0,12,24,30",5e-05,0.0001,False,0.004330604230856179,0.0011576148988825443,0.1406567463741687,0.1538801244954523,0.005488219129738723,0.21048506375957063,0.527862358954574,14.665399207836685,19.180199556423172,0.31737729519500335,4.514800348586487
No. of previous surgeries,≥2,"0,12,24,30",5e-05,0.0001,False,0.004330604230856179,0.0011576148988825443,0.1406567463741687,0.1538801244954523,0.005488219129738723,0.3518329037631863,0.7233761941817288,15.058843895379518,20.57244953433247,0.3715432904185425,5.513605638952953
No. of previous surgeries,1,"0,12,24,30",5e-05,0.0005,False,0.003946484100264165,0.001592817748277642,0.14163581857299312,0.11411295566782209,0.005539301848541807,0.3374669062148341,0.6405819933815501,15.733561818440041,19.956107880204836,0.303115087166716,4.222546061764795
No. of previous surgeries,≥2,"0,12,24,30",5e-05,0.0005,False,0.003946484100264165,0.001592817748277642,0.14163581857299312,0.11411295566782209,0.005539301848541807,0.015580177403337806,0.27523065661844703,11.439435415058753,17.287017231849124,0.25965047921510925,5.84758181679037
No. of previous surgeries,1,"0,12,24,30",0.0001,1e-05,False,0.0043411372739961766,0.0011043287672830857,0.14251608573583563,0.16012689911664502,0.0054454660412792625,0.1949368673955829,0.5115127974576499,14.505615431517125,19.055843150581385,0.31657593006206697,4.55022771906426
No. of previous surgeries,≥2,"0,12,24,30",0.0001,1e-05,False,0.0043411372739961766,0.0011043287672830857,0.14251608573583563,0.16012689911664502,0.0054454660412792625,0.41757821259902594,0.7628316247118514,15.69572496684848,20.89480070970782,0.34525341211282545,5.199075742859339
No. of previous surgeries,1,"0,12,24,30",0.0001,5e-05,False,0.004337151024434839,0.0011278549339427619,0.14147625084590454,0.15718445287891858,0.005465005958377601,0.20270813015225678,0.5197771055088706,14.579003307662294,19.11504431062555,0.3170689753566138,4.536041002963255
No. of previous surgeries,≥2,"0,12,24,30",0.0001,5e-05,False,0.004337151024434839,0.0011278549339427619,0.14147625084590454,0.15718445287891858,0.005465005958377601,0.38399437765084965,0.7432598223703273,15.396818679801564,20.744457003704614,0.35926544471947763,5.34763832390305
No. of previous surgeries,1,"0,12,24,30",0.0001,0.0001,False,0.004361736806522436,0.001156123916239342,0.13989058996573422,0.15470583441436603,0.005517860722761779,0.2194990283837621,0.5370161312574485,14.73933123681297,19.240417604666607,0.3175171028736864,4.501086367853638
No. of previous surgeries,≥2,"0,12,24,30",0.0001,0.0001,False,0.004361736806522436,0.001156123916239342,0.13989058996573422,0.15470583441436603,0.005517860722761779,0.31064968007492516,0.6959914583400342,14.739925090112125,20.391482408756225,0.385341778265109,5.6515573186441
No. of previous surgeries,1,"0,12,24,30",0.0001,0.0005,False,0.003987605145745384,0.001569342669787789,0.1406615485474405,0.11555135580374121,0.005556947815533173,0.3343814530829789,0.6381741874528708,15.740257529904286,19.956069095329937,0.3037927343698919,4.215811565425652
No. of previous surgeries,≥2,"0,12,24,30",0.0001,0.0005,False,0.003987605145745384,0.001569342669787789,0.1406615485474405,0.11555135580374121,0.005556947815533173,0.01790214005480004,0.28734253800340226,11.366734958810273,17.327576265214404,0.2694403979486022,5.960841306404131
No. of previous surgeries,1,"0,12,24,30",0.0005,1e-05,False,0.004376726907462711,0.0011341856005587095,0.13920086603909798,0.1569441909175433,0.005510912508021421,0.20750715130248823,0.5247875351675301,14.565249052460555,19.119258385097176,0.31728038386504187,4.554009332636621
No. of previous surgeries,≥2,"0,12,24,30",0.0005,1e-05,False,0.004376726907462711,0.0011341856005587095,0.13920086603909798,0.1569441909175433,0.005510912508021421,0.3680971532213954,0.7335814577100025,15.383843206497158,20.72595456408656,0.3654843044886071,5.342111357589403
