subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Codeleted,172,0.3499965600256211,0.08298958998973248,0.41846759217095236,12.477087379099615,18.198926444026228,0.33547800218121987,5.721839064926613,0
Non-codeleted,159,0.36527288959325244,0.3810301939266517,0.702968395658794,16.062891137633628,20.545115451638853,0.32193820173214227,4.482224314005226,0
Codeleted,172,0.3990121397513473,0.20412695530001532,0.5304467690764997,13.87086762264177,18.845604939537523,0.32631981377648434,4.974737316895753,1
Non-codeleted,159,0.5903536776555193,0.30916699632000355,0.5000732256167598,15.550973696413081,18.33615799200566,0.19090622929675627,2.785184295592579,1
Codeleted,172,0.1802991384238451,0.46250184742072153,0.8702022761364392,17.894459001849224,22.68052513568315,0.40770042871571766,4.786066133833927,2
Non-codeleted,159,0.342780260890852,0.011709191212237662,0.21773516797233675,10.105015898340934,15.934494688386252,0.2060259767600991,5.829478790045318,2
Codeleted,172,0.33225826755240356,0.3150069487717172,0.6812596719149897,15.333225737149565,20.437553838022218,0.3662527231432725,5.104328100872653,3
Non-codeleted,159,0.43531798247195863,0.13209606640860272,0.41429285710217617,13.221082526352099,17.862407135942988,0.28219679069357345,4.641324609590889,3
Codeleted,172,0.31842297224745664,0.39744324004581505,0.7454181588566897,16.37095539958093,21.088461582303477,0.34797491881087467,4.717506182722548,4
Non-codeleted,159,0.38220544064114054,0.05580679077064434,0.33187668827555294,11.9409535736673,17.271064098823135,0.2760698975049086,5.330110525155835,4
Codeleted,172,0.41443193769732867,0.2068083405867594,0.5204146222753788,14.03267322844285,18.779846332221705,0.3136062816886194,4.747173103778856,5
Non-codeleted,159,0.5675145237005947,0.309814204855661,0.514271648824675,15.450887219129829,18.447438565297478,0.204457443969014,2.9965513461676494,5
Codeleted,172,0.32627395509993135,0.14208069197249806,0.5290469129140996,13.195409315744612,19.14824604840022,0.3869662209416015,5.952836732655609,6
Non-codeleted,159,0.6176805681584482,0.3444466748564648,0.5177131873102826,15.858471335272817,18.384554702040496,0.1732665124538178,2.526083366767679,6
Codeleted,172,0.3671580966975846,0.09494746941675869,0.4212836494034827,12.671779660244722,18.160908763178334,0.326336179986724,5.489129102933612,7
Non-codeleted,159,0.38162698285467606,0.3817443226539588,0.6924574816939028,15.961917975040043,20.358650455103316,0.31071315903994395,4.396732480063273,7
Codeleted,172,0.3566491388003712,0.08060177390966373,0.40733205327637084,12.458604993155971,18.08780051651026,0.3267302793667071,5.629195523354289,8
Non-codeleted,159,0.3725247195067418,0.40782906638066885,0.7159677737072269,16.266281069508143,20.60347058117297,0.308138707326558,4.337189511664828,8
Codeleted,172,0.4143164664187111,0.18014032473886313,0.49157217759374733,13.916404728948768,18.648278565860743,0.3114318528548842,4.731873836911975,9
Non-codeleted,159,0.46434641329407306,0.30890729548549006,0.579566818277727,15.123019245740396,19.105672598005544,0.270659522792237,3.9826533522651477,9
