subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Frontal lobe,222,0.5036383979622295,0.19650510336384658,0.44067241335524776,14.233273020149262,17.999701398722504,0.24416730999140118,3.7664283785732415,0
Nonfrontal lobe,109,0.1854826236906266,0.26857205837046694,0.7836112703966542,14.394388739577149,21.602383230660273,0.5150392120261873,7.207994491083124,0
Frontal lobe,222,0.5572279901804597,0.28051534416250334,0.492476984582462,15.388166176821262,18.44895306711848,0.21196164041995863,3.0607868902972193,1
Nonfrontal lobe,109,0.3528760944596093,0.19728279779578134,0.5639671130386706,13.18815510145135,18.984026553060993,0.3666843152428893,5.795871451609642,1
Frontal lobe,222,0.3019119309335489,0.03813810550260486,0.37298823697582656,11.197217336655259,17.787487139786617,0.3348501314732217,6.590269803131358,2
Nonfrontal lobe,109,0.1703434821816443,0.6361927714642964,0.925854224297331,19.84507387293591,23.207310221781484,0.28966145283303457,3.362236348845574,2
Frontal lobe,222,0.48383000623074174,0.20535750856809593,0.464913253826621,14.359252953782203,18.285549478492594,0.2595557452585251,3.9262965247103914,3
Nonfrontal lobe,109,0.23462446899773445,0.26201368308496026,0.7303390688468872,14.293742889478027,20.98182560620501,0.4683253857619269,6.688082716726983,3
Frontal lobe,222,0.4682120581557817,0.1485840832213042,0.40955039863791726,13.550698695375644,17.77732822900161,0.2609663154166131,4.226629533625967,4
Nonfrontal lobe,109,0.19709137175005886,0.37699168849183756,0.8250848877347445,15.831338427110001,21.97465166817525,0.44809319924290697,6.1433132410652505,4
Frontal lobe,222,0.573768716394072,0.2911590915774109,0.4926457406888317,15.516035535350838,18.418840468210416,0.20148664911142083,2.9028049328595777,5
Nonfrontal lobe,109,0.334708091478353,0.1832616891898653,0.5666880752170663,13.043446122841539,19.095617543380932,0.383426386027201,6.052171420539393,5
Frontal lobe,222,0.4770932325617308,0.23544200670101192,0.5015682513507758,14.769454772266556,18.66312677165716,0.26612624464976387,3.8936719993906053,6
Nonfrontal lobe,109,0.37492934370531245,0.22928875176932162,0.5756899895891894,13.796875728722913,19.11931542817793,0.34640123781986776,5.322439699455018,6
Frontal lobe,222,0.5225853860234372,0.21916510493886004,0.4523730418898331,14.52884382361993,18.06834476158899,0.23320793695097308,3.539500937969059,7
Nonfrontal lobe,109,0.1966918541441307,0.23964143325052722,0.7550311116655576,13.866324803791343,21.271436697123946,0.5153896784150304,7.405111893332602,7
Frontal lobe,222,0.5110077499645385,0.20212173850750914,0.4417360255714939,14.289187512347553,17.980514902142936,0.23961428706398474,3.691327389795383,8
Nonfrontal lobe,109,0.19043249880514632,0.28574068564042776,0.787769897759601,14.516870708487044,21.597677222745425,0.5020292121191733,7.080806514258381,8
Frontal lobe,222,0.5736453796038381,0.30532924504213393,0.5063371008480372,15.564679684763153,18.471256650101054,0.20100785580590325,2.9065769653379014,9
