factor,subgroup,n_solutions,dRMST24_min,dRMST24_max,dRMST24_med,dS24_min,dS24_max,dS24_med,S24_ctrl_med,S24_trt_med,RMST24_ctrl_med,RMST24_trt_med,ISE_sum_med,tolerance
Chromosome 1p/19q codeletion status,Codeleted,120,5.4346611560671185,5.887030712415825,5.60663905880138,0.36275793315598276,0.39774194433621374,0.39331861668811724,0.21942444495723518,0.6154759504543812,14.196787810676872,19.770364841490142,0.0032999330502744787,0.2
Chromosome 1p/19q codeletion status,Non-codeleted,120,3.210482623250531,4.136257822790947,3.6592583194891084,0.2295192627289629,0.27123997122147936,0.26800311126495324,0.2986798195995074,0.5666829308644608,15.67502141505691,19.291289878469847,0.0032999330502744787,0.2
Location of tumor at initial diagnosis,Frontal lobe,120,3.377369841738684,4.089910403319667,3.7045962605540037,0.2543094788715043,0.27132775056544733,0.26855688375693143,0.2920062472174984,0.5607033077322657,15.541127198464062,19.216570616153355,0.003329495597703845,0.2
Location of tumor at initial diagnosis,Nonfrontal lobe,120,6.088628381119708,7.264394724816018,6.5678359192684015,0.386652181096146,0.4609746185926522,0.4427357561478621,0.18018410844274205,0.6404091369753815,13.225831323557836,20.128500454001333,0.003329495597703845,0.2
Longest diameter of tumor at baseline,<2 cm,120,0.6870957298932119,1.3925814436888206,1.0991817579894008,0.002771636708260712,0.07737642919685461,0.07218723224183575,0.3864619330283896,0.46297226848828366,16.2560568666227,17.408668373920076,0.003450409600588755,0.2
Longest diameter of tumor at baseline,≥2 cm,120,4.7801542374211685,5.743155915072425,5.512468242423202,0.36645738109876974,0.3977754174867387,0.3956167435079079,0.2209539366755292,0.6168453812866379,14.388159262748118,19.926301399276063,0.003450409600588755,0.2
No. of previous surgeries,1,120,3.9822149970229503,4.716077250602993,4.40052429822122,0.303115087166716,0.31751882785082586,0.31652208147699346,0.24736618577525388,0.5639872875744596,14.92883860747035,19.32488482640537,0.003541996740394627,0.2
No. of previous surgeries,≥2,120,4.866763830181537,6.927989587340885,5.775685985489292,0.25965047921510925,0.4076875100572817,0.38079485118662737,0.270098392011821,0.6664562200827764,14.414486296527524,20.196792065553748,0.003541996740394627,0.2
Chromosome 1p/19q codeletion status,Codeleted,120,5.4346611560671185,5.887030712415825,5.60663905880138,0.36275793315598276,0.39774194433621374,0.39331861668811724,0.21942444495723518,0.6154759504543812,14.196787810676872,19.770364841490142,0.0032999330502744787,0.3
Chromosome 1p/19q codeletion status,Non-codeleted,120,3.210482623250531,4.136257822790947,3.6592583194891084,0.2295192627289629,0.27123997122147936,0.26800311126495324,0.2986798195995074,0.5666829308644608,15.67502141505691,19.291289878469847,0.0032999330502744787,0.3
Location of tumor at initial diagnosis,Frontal lobe,120,3.377369841738684,4.089910403319667,3.7045962605540037,0.2543094788715043,0.27132775056544733,0.26855688375693143,0.2920062472174984,0.5607033077322657,15.541127198464062,19.216570616153355,0.003329495597703845,0.3
Location of tumor at initial diagnosis,Nonfrontal lobe,120,6.088628381119708,7.264394724816018,6.5678359192684015,0.386652181096146,0.4609746185926522,0.4427357561478621,0.18018410844274205,0.6404091369753815,13.225831323557836,20.128500454001333,0.003329495597703845,0.3
Longest diameter of tumor at baseline,<2 cm,120,0.6870957298932119,1.3925814436888206,1.0991817579894008,0.002771636708260712,0.07737642919685461,0.07218723224183575,0.3864619330283896,0.46297226848828366,16.2560568666227,17.408668373920076,0.003450409600588755,0.3
Longest diameter of tumor at baseline,≥2 cm,120,4.7801542374211685,5.743155915072425,5.512468242423202,0.36645738109876974,0.3977754174867387,0.3956167435079079,0.2209539366755292,0.6168453812866379,14.388159262748118,19.926301399276063,0.003450409600588755,0.3
No. of previous surgeries,1,120,3.9822149970229503,4.716077250602993,4.40052429822122,0.303115087166716,0.31751882785082586,0.31652208147699346,0.24736618577525388,0.5639872875744596,14.92883860747035,19.32488482640537,0.003541996740394627,0.3
No. of previous surgeries,≥2,120,4.866763830181537,6.927989587340885,5.775685985489292,0.25965047921510925,0.4076875100572817,0.38079485118662737,0.270098392011821,0.6664562200827764,14.414486296527524,20.196792065553748,0.003541996740394627,0.3
Chromosome 1p/19q codeletion status,Codeleted,120,5.4346611560671185,5.887030712415825,5.60663905880138,0.36275793315598276,0.39774194433621374,0.39331861668811724,0.21942444495723518,0.6154759504543812,14.196787810676872,19.770364841490142,0.0032999330502744787,0.4
Chromosome 1p/19q codeletion status,Non-codeleted,120,3.210482623250531,4.136257822790947,3.6592583194891084,0.2295192627289629,0.27123997122147936,0.26800311126495324,0.2986798195995074,0.5666829308644608,15.67502141505691,19.291289878469847,0.0032999330502744787,0.4
Location of tumor at initial diagnosis,Frontal lobe,120,3.377369841738684,4.089910403319667,3.7045962605540037,0.2543094788715043,0.27132775056544733,0.26855688375693143,0.2920062472174984,0.5607033077322657,15.541127198464062,19.216570616153355,0.003329495597703845,0.4
