factor,subgroup,breaks,pen_smooth,pen_reg,timevarying_hr,ISE_ctrl,ISE_trt,MAD_ctrl,MAD_trt,ISE_sum,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,1e-05,True,0.004209458018767605,0.0010840917475816226,0.1479759513278075,0.16581632302501348,0.005293549766349227,0.647293239888329,0.7031965309381781,18.64526090243362,19.53634369432637,0.055903291049849146,0.8910827918927495
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,1e-05,True,0.004209458018767605,0.0010840917475816226,0.1479759513278075,0.16581632302501348,0.005293549766349227,0.1448425084181311,0.5437802174154384,13.775984775886592,19.535260143705976,0.3989377089973073,5.759275367819384
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,5e-05,True,0.0042125454444686015,0.001125890315179915,0.146400572322399,0.1617280920527312,0.005338435759648517,0.5707152306141384,0.6353566934419437,17.772853600688613,18.783750676739935,0.06464146282780525,1.0108970760513216
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,5e-05,True,0.0042125454444686015,0.001125890315179915,0.146400572322399,0.1617280920527312,0.005338435759648517,0.16072424869500557,0.5617299594305664,13.994446779607653,19.693327226038264,0.4010057107355608,5.698880446430611
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,0.0001,True,0.004266234815317626,0.001172294220337791,0.14429619869623267,0.15810755028303758,0.005438529035655417,0.44821254989447806,0.5231862971865492,16.42838663183439,17.60677675397981,0.07497374729207112,1.1783901221454194
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,0.0001,True,0.004266234815317626,0.001172294220337791,0.14429619869623267,0.15810755028303758,0.005438529035655417,0.1866380463485416,0.5895576943316628,14.326765570650155,19.933186208127033,0.40291964798312124,5.606420637476878
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",5e-05,0.0005,True,0.0033368043050921096,0.0015650592410655455,0.15602890737275132,0.14354475227366226,0.004901863546157655,0.00024963952299840436,0.0015641101267604633,10.452706847849951,11.29067993512345,0.0013144706037620589,0.8379730872734985
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",5e-05,0.0005,True,0.0033368043050921096,0.0015650592410655455,0.15602890737275132,0.14354475227366226,0.004901863546157655,0.32999085576850784,0.724734727983389,15.865894668598344,21.07856648087005,0.39474387221488116,5.212671812271708
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0001,1e-05,True,0.0042458719458310324,0.001088176232985591,0.14712888564641835,0.1655943217392618,0.005334048178816624,0.6171873031434251,0.6768251969628521,18.3864227145499,19.315293687895462,0.05963789381942708,0.9288709733455605
Longest diameter of tumor at baseline,≥2 cm,"0,12,24,30",0.0001,1e-05,True,0.0042458719458310324,0.001088176232985591,0.14712888564641835,0.1655943217392618,0.005334048178816624,0.1505685176320939,0.5499891302930892,13.83739687753311,19.5807492782412,0.39942061266099527,5.7433524007080905
Longest diameter of tumor at baseline,<2 cm,"0,12,24,30",0.0001,5e-05,True,0.004247398130320046,0.00112836198082705,0.14534618567667723,0.16177874585788343,0.005375760111147096,0.5323613819497985,0.6008260922617805,17.449285203103347,18.501909762739064,0.06846471031198198,1.052624559635717
