factor,subgroup,breaks,pen_smooth,pen_reg,timevarying_hr,ISE_ctrl,ISE_trt,MAD_ctrl,MAD_trt,ISE_sum,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",5e-05,1e-05,False,0.0009965207836255391,0.0007361939270993129,0.0787305061387285,0.06442813655630941,0.001732714710724852,0.18378525198087461,0.7888663888827877,13.937765820100786,21.86783340359038,0.6050811369019131,7.9300675834895955
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",5e-05,1e-05,False,0.0009965207836255391,0.0007361939270993129,0.0787305061387285,0.06442813655630941,0.001732714710724852,0.4748886522989157,0.7763206196694736,17.612421721317506,21.442110188162196,0.30143196737055794,3.82968846684469
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",5e-05,5e-05,False,0.0009962982798385365,0.0007468783797566971,0.0792062392631358,0.06639279412899401,0.0017431766595952336,0.19102662765204012,0.7931459050417925,13.938784151792946,21.874249305326284,0.6021192773897523,7.935465153533338
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",5e-05,5e-05,False,0.0009962982798385365,0.0007468783797566971,0.0792062392631358,0.06639279412899401,0.0017431766595952336,0.4690320803828816,0.7730521377534669,17.570308319475952,21.421121670365018,0.30402005737058535,3.850813350889066
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",5e-05,0.0001,False,0.0009920670083333688,0.0007618464569580908,0.07969505607597904,0.06855780907423703,0.0017539134652914596,0.19599237227784794,0.7960006199983178,13.9399448490204,21.878522204557,0.6000082477204699,7.9385773555366015
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",5e-05,0.0001,False,0.0009920670083333688,0.0007618464569580908,0.07969505607597904,0.06855780907423703,0.0017539134652914596,0.4658712149648141,0.7712768881008363,17.530650609628616,21.401897560414206,0.3054056731360222,3.87124695078559
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",5e-05,0.0005,False,0.0009893237913633157,0.0008841011021413902,0.08186107363736933,0.08115957089456327,0.0018734248935047058,0.21739090259242558,0.807632226901381,13.936095215883798,21.8920397246411,0.5902413243089555,7.9559445087573035
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",5e-05,0.0005,False,0.0009893237913633157,0.0008841011021413902,0.08186107363736933,0.08115957089456327,0.0018734248935047058,0.45444200603234675,0.7647906534848021,17.327870048205853,21.304024283424077,0.3103486474524554,3.9761542352182246
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0001,1e-05,False,0.0010200221351206631,0.0007244277352168315,0.07863004271745772,0.06323260503450656,0.0017444498703374947,0.19083859653595442,0.793036582990038,13.85510525457012,21.848858577626707,0.6021979864540836,7.993753323056588
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0001,1e-05,False,0.0010200221351206631,0.0007244277352168315,0.07863004271745772,0.06323260503450656,0.0017444498703374947,0.4663979581331248,0.7715732860103154,17.657922366560474,21.460848307305238,0.3051753278771906,3.802925940744764
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0001,5e-05,False,0.0010131336939152875,0.000737953622230459,0.07906715257414726,0.06524628785803921,0.0017510873161457464,0.19584735877215068,0.7959181429396995,13.908077717413818,21.86881919816443,0.6000707841675489,7.960741480750613
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0001,5e-05,False,0.0010131336939152875,0.000737953622230459,0.07906715257414726,0.06524628785803921,0.0017510873161457464,0.46291191166649726,0.7696076496574662,17.578703802097998,21.423354584380437,0.30669573799096894,3.8446507822824394
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0001,0.0001,False,0.0010070624151502761,0.0007526227233634482,0.07960959923826977,0.06742131451511735,0.0017596851385137243,0.20046079890207263,0.7985167607928374,13.909895499788009,21.87280992878571,0.5980559618907648,7.962914428997701
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0001,0.0001,False,0.0010070624151502761,0.0007526227233634482,0.07960959923826977,0.06742131451511735,0.0017596851385137243,0.4603218189844301,0.7681408495663039,17.53868561683133,21.404110962399407,0.3078190305818738,3.8654253455680774
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0001,0.0005,False,0.0009918854243488916,0.0008739530797966367,0.08175077705603429,0.08004606566954331,0.0018658385041455281,0.2180876381386918,0.8079941213746695,13.939359332106994,21.893449680811646,0.5899064832359777,7.954090348704652
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0001,0.0005,False,0.0009918854243488916,0.0008739530797966367,0.08175077705603429,0.08004606566954331,0.0018658385041455281,0.45287927191543403,0.7638954569981171,17.32044715532594,21.300099396860492,0.3110161850826831,3.979652241534552
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0005,1e-05,False,0.0011405197037539579,0.0006578296034893891,0.08000359403511492,0.05570776155723778,0.001798349307243347,0.20750217562537246,0.8023855618790761,13.9075537699073,21.877001485754732,0.5948833862537036,7.969447715847432
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0005,1e-05,False,0.0011405197037539579,0.0006578296034893891,0.08000359403511492,0.05570776155723778,0.001798349307243347,0.44823274389864565,0.7612217356513109,17.448936011281244,21.358881571357543,0.31298899175266526,3.9099455600762987
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0005,5e-05,False,0.0011254189424766245,0.0006692144281288026,0.08027449477403009,0.057442162186977286,0.0017946333706054271,0.2091887376156063,0.8032954210495258,13.913138171115675,21.879823804663133,0.5941066834339195,7.966685633547458
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0005,5e-05,False,0.0011254189424766245,0.0006692144281288026,0.08027449477403009,0.057442162186977286,0.0017946333706054271,0.44788847160337986,0.7610228910438132,17.42797359814519,21.349013844306445,0.3131344194404333,3.9210402461612546
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0005,0.0001,False,0.001107237982079968,0.0006849784893024521,0.0805362648275802,0.059597579944581924,0.0017922164713824202,0.21090637201977627,0.8042155804691443,13.917014446685911,21.88212894952848,0.5933092084493681,7.965114502842567
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0005,0.0001,False,0.001107237982079968,0.0006849784893024521,0.0805362648275802,0.059597579944581924,0.0017922164713824202,0.4476915304554966,0.7609090912003641,17.4053886619443,21.338417880516097,0.3132175607448675,3.9330292185717965
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.0005,0.0005,False,0.0010317328419442006,0.0008061942874597264,0.08127223007590045,0.07194658263264686,0.0018379271294039269,0.22231442874604526,0.8101685119623941,13.964556430280135,21.903571975314904,0.5878540832163489,7.939015545034769
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.0005,0.0005,False,0.0010317328419442006,0.0008061942874597264,0.08127223007590045,0.07194658263264686,0.0018379271294039269,0.4431946316205894,0.7583017324450934,17.2351480309806,21.257071488823872,0.31510710082450394,4.021923457843272
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.001,1e-05,False,0.001275417847754443,0.0006063882866358729,0.08207816359721332,0.04960959663704456,0.001881806134390316,0.21546631243120706,0.8066275676537132,13.926786501606129,21.88796735312358,0.5911612552225062,7.961180851517453
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.001,1e-05,False,0.001275417847754443,0.0006063882866358729,0.08207816359721332,0.04960959663704456,0.001881806134390316,0.4417767717673214,0.7574761289354988,17.28425696454314,21.279801074396406,0.3156993571681774,3.9955441098532667
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.001,5e-05,False,0.0012543078246208493,0.0006179014926641465,0.08207996764521613,0.051168346523560726,0.0018722093172849957,0.21653291049008572,0.8071853887082949,13.925576789878333,21.888258364754904,0.5906524782182092,7.962681574876571
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.001,5e-05,False,0.0012543078246208493,0.0006179014926641465,0.08207996764521613,0.051168346523560726,0.0018722093172849957,0.4413659404318165,0.7572365490934363,17.27859189798582,21.277009883096465,0.3158706086616198,3.9984179851106454
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.001,0.0001,False,0.0012341847609873531,0.0006309922120764558,0.08206616741743256,0.05274150662934918,0.0018651769730638089,0.21762808612953655,0.8077557038952601,13.930366997806871,21.8903829330609,0.5901276177657235,7.960015935254027
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.001,0.0001,False,0.0012341847609873531,0.0006309922120764558,0.08206616741743256,0.05274150662934918,0.0018651769730638089,0.44088902250775464,0.7569582452883293,17.262689017953786,21.269369393995937,0.3160692227805747,4.006680376042151
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.001,0.0005,False,0.0011103516560598162,0.0007468566136940642,0.08148952397026588,0.06420180507909279,0.0018572082697538802,0.2260963534976497,0.812084112792649,13.984651192903492,21.91179198322373,0.5859877592949994,7.927140790320237
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.001,0.0005,False,0.0011103516560598162,0.0007468566136940642,0.08148952397026588,0.06420180507909279,0.0018572082697538802,0.4358511376750326,0.7540062116113938,17.132602895958595,21.206193654226762,0.3181550739363612,4.073590758268168
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.005,1e-05,False,0.0018917293026006375,0.0004998562021199428,0.0911087125267992,0.04419800194814649,0.0023915855047205803,0.23473674434695466,0.8163592652931558,13.827659808113314,21.8679949212542,0.5816225209462011,8.040335113140888
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.005,1e-05,False,0.0018917293026006375,0.0004998562021199428,0.0911087125267992,0.04419800194814649,0.0023915855047205803,0.4353401202445176,0.7537055981863955,16.89479383968301,21.091598556947016,0.31836547794187786,4.196804717264005
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.005,5e-05,False,0.0018716128253533856,0.0005091437674773891,0.09074004993327295,0.044440403318189325,0.002380756592830775,0.23537033731908633,0.8166673951937258,13.840108835243782,21.872180848905284,0.5812970578746395,8.032072013661502
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.005,5e-05,False,0.0018716128253533856,0.0005091437674773891,0.09074004993327295,0.044440403318189325,0.002380756592830775,0.43406020556781416,0.7529514523282708,16.879403838761444,21.083762546008032,0.3188912467604566,4.204358707246588
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.005,0.0001,False,0.0018455027100237938,0.0005202312241590125,0.09027630369568074,0.04474014472776622,0.0023657339341828063,0.23603510408609282,0.8169899194958581,13.854902248842976,21.877102687837443,0.5809548154097652,8.022200438994467
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.005,0.0001,False,0.0018455027100237938,0.0005202312241590125,0.09027630369568074,0.04474014472776622,0.0023657339341828063,0.4325903542677594,0.7520835799530611,16.86365777604609,21.07569029468594,0.3194932256853017,4.212032518639852
Chromosome 1p/19q codeletion status,Codeleted,"0,12,24,30",0.005,0.0005,False,0.0016668481369758157,0.0006114288578643321,0.08682948765490889,0.04697631927003554,0.002278276994840148,0.2404774938601625,0.8191253949611302,13.952523317811252,21.909343251341177,0.5786479011009678,7.956819933529925
Chromosome 1p/19q codeletion status,Non-codeleted,"0,12,24,30",0.005,0.0005,False,0.0016668481369758157,0.0006114288578643321,0.08682948765490889,0.04697631927003554,0.002278276994840148,0.42229477902705803,0.7459493167059443,16.747663153884655,21.016039580660962,0.3236545376788863,4.268376426776307
Chromosome 1p/19q codeletion status,Codeleted,"0,6,12,18,24,30",5e-05,1e-05,False,0.0009103043949326728,0.0007078755053722282,0.08338321469341547,0.06622274211232371,0.001618179900304901,0.1898587896238306,0.7924653083222373,14.095107968906813,21.913145530300756,0.6026065186984066,7.818037561393943
Chromosome 1p/19q codeletion status,Non-codeleted,"0,6,12,18,24,30",5e-05,1e-05,False,0.0009103043949326728,0.0007078755053722282,0.08338321469341547,0.06622274211232371,0.001618179900304901,0.4804789859918055,0.7794157684848197,17.73024074682857,21.493933886967298,0.29893678249301425,3.7636931401387272
Chromosome 1p/19q codeletion status,Codeleted,"0,6,12,18,24,30",5e-05,5e-05,False,0.0009377956063849642,0.0007218374064302951,0.0823214391142007,0.06672907732531463,0.0016596330128152595,0.1916692595234786,0.7935189360187067,14.060693974299939,21.90898254937069,0.6018496764952281,7.848288575070752
Chromosome 1p/19q codeletion status,Non-codeleted,"0,6,12,18,24,30",5e-05,5e-05,False,0.0009377956063849642,0.0007218374064302951,0.0823214391142007,0.06672907732531463,0.0016596330128152595,0.47611039428770596,0.7769990852569356,17.605152462418804,21.436034009165937,0.30088869096922966,3.8308815467471327
Chromosome 1p/19q codeletion status,Codeleted,"0,6,12,18,24,30",5e-05,0.0001,False,0.0009673826511863073,0.0007412679889074979,0.08141181916537321,0.06789722197433401,0.0017086506400938051,0.19746190336997166,0.7968335099400577,14.04995931587173,21.911579652628564,0.599371606570086,7.861620336756834
Chromosome 1p/19q codeletion status,Non-codeleted,"0,6,12,18,24,30",5e-05,0.0001,False,0.0009673826511863073,0.0007412679889074979,0.08141181916537321,0.06789722197433401,0.0017086506400938051,0.4681203114958793,0.7725408666576365,17.483204630795942,21.378890312638244,0.30442055516175726,3.895685681842302
Chromosome 1p/19q codeletion status,Codeleted,"0,6,12,18,24,30",5e-05,0.0005,False,0.001011123284920409,0.0008718214110199926,0.07831044344159199,0.0759155311175822,0.0018829446959404016,0.21166686049767072,0.804620851387705,13.971401926965463,21.901994728553174,0.5929539908900343,7.930592801587711
Chromosome 1p/19q codeletion status,Non-codeleted,"0,6,12,18,24,30",5e-05,0.0005,False,0.001011123284920409,0.0008718214110199926,0.07831044344159199,0.0759155311175822,0.0018829446959404016,0.44935738435053385,0.7618704887864793,17.226300566085136,21.255155230221497,0.3125131044359455,4.028854664136361
Chromosome 1p/19q codeletion status,Codeleted,"0,6,12,18,24,30",0.0001,1e-05,False,0.0009387168692203827,0.0007068702231563965,0.08207641493308021,0.06512631755016096,0.0016455870923767792,0.1934374418459496,0.7945397504184712,13.954719757642865,21.875507577030504,0.6011023085725217,7.920787819387639
Chromosome 1p/19q codeletion status,Non-codeleted,"0,6,12,18,24,30",0.0001,1e-05,False,0.0009387168692203827,0.0007068702231563965,0.08207641493308021,0.06512631755016096,0.0016455870923767792,0.47284439467145095,0.77518276844199,17.783186497114798,21.517339890654476,0.302338373770539,3.7341533935396782
Chromosome 1p/19q codeletion status,Codeleted,"0,6,12,18,24,30",0.0001,5e-05,False,0.0009652461723511933,0.0007209097324654845,0.08130859253348749,0.06585212523612272,0.0016861559048166777,0.19496224933006645,0.7954136016456632,13.965258956115417,21.882671218061965,0.6004513523155968,7.917412261946549
